的 dí,dì,de
菨 jiē,shà
菍 niè,rěn
菆 zōu,chù
菀 wǎn,yùn
莶 xiān,liǎn
莵 tù,tú
莳 shì,shí
莬 wèn,wǎn,miǎn
莨 làng,liáng
莦 shāo,xiāo
莤 sù,yóu
莑 péng,fēng
荨 qián,xún
苼 shēng,ruí
苲 zuó,zhǎ
苩 pā,bó
苧 zhù,níng
苣 jù,qǔ
苙 lì,jī
苐 dì,tí
苂 chán,yín
芾 fèi,fú
芼 máo,mào
芶 gōu,gǒu
芴 wù,hū
芲 lún,huā
芫 yuán,yán
芧 xù,zhù
芚 tún,chūn
芘 bì,pí
芔 huì,hū
芓 zì,zǐ
芐 hù,xià
芆 chāi,chā
艽 jiāo,qiú
臸 zhī,jìn
臷 dié,zhí
臱 mián,biān
臩 guǎng,jiǒng
臦 guàng,jiǒng
臤 qiān,xián
臡 ní,luán
臒 wò,yuè
臈 là,gé
膴 hū,wǔ
膰 fán,pán
膞 zhuān,chuán,chún,zhuǎn
膔 lù,biāo
胿 guī,kuì
胕 fū,fú,zhǒu
胓 píng,pēng
胐 fěi,kū
胏 zǐ,fèi
胇 fèi,bì
肶 pí,bǐ,bì
肫 zhūn,chún
肨 pàng,pán,pàn
肣 qín,hán,hàn
肜 róng,chēn
肑 bó,dí
聻 nǐ,jiàn
聜 dǐ,zhì
聑 tiē,zhé
聏 ér,nǜ
聉 wà,tuǐ,zhuó
耺 yún,yíng
耫 zhá,zé
耤 jí,jiè
耣 lún,lǔn
耝 qù,chú
耛 sì,chí
耑 duān,zhuān
耏 ér,nài
耎 ruǎn,nuò
翹 qiáo,qiào
翵 hóu,qú
翢 dào,zhōu
翑 qú,yù
翍 pī,bì,pō
羾 hóng,gòng
羬 qián,xián,yán
羫 qiāng,kòng
羛 yì,xī
羙 měi,gāo
羏 yáng,xiáng
罷 bà,ba,pí
罫 guǎi,guà
柭 bā,fú,pèi,bó,biē
柮 duò,zuó,wù
柲 bì,bié
柸 bēi,pēi
柹 shì,fèi
査 chá,zhā
栔 qì,qiè
栝 guā,tiǎn
栟 bēn,bīng
栧 yì,xiè
栫 jiàn,zùn
栺 zhī,yì
桄 guāng,guàng
桋 yí,tí
桙 yú,móu
桚 zā,zǎn
桭 chén,zhèn
桯 tīng,yíng
桳 bèn,fàn
桻 fēng,fèng
梀 sù,yìn
梃 tǐng,tìng
梋 xuān,juān,xié
梌 tú,chá
梎 āo,yòu
梕 rèn,ér
條 tiáo,tiāo
梩 sì,qǐ
梴 chān,yán
梹 bīn,bīng
梼 chóu,táo,dào
梿 lián,liǎn
棇 cōng,sōng
棏 dé,zhé
棑 pái,bèi,pèi
棓 bàng,pǒu,bèi,bēi
棙 lì,liè
棪 yǎn,yàn
棬 quān,juàn
棯 rěn,shěn
棴 fú,sù
棷 zōu,sǒu
棽 chēn,shēn
棿 ní,nǐ
椄 jiē,qiè
椆 chóu,zhòu,diāo
椉 chéng,shèng
椊 zú,cuì
椌 qiāng,kōng
椦 quān,juàn,quán
椯 duǒ,chuán
椲 wěi,huī
椵 jiǎ,jiā
椷 jiān,hán
椹 zhēn,shèn
椻 yàn,yà
楇 guō,kuǎ
楖 jí,zhì
楛 kǔ,hù
楢 yóu,yǒu
楤 sǒng,cōng
楥 xuàn,yuán
楧 yǎng,yàng,yīng
楪 dié,yè
楱 còu,zòu
楴 dì,dǐ,shì
楺 róu,ròu
楽 lè,yuè
榅 wēn,yùn
榌 bī,pi
榐 zhǎn,niǎn,zhèn
榑 fú,fù,bó
榗 jiàn,jìn
榝 shā,xiè
榪 mà,mā
槏 qiǎn,lián,xiàn
槙 diān,zhěn,zhēn
槢 xí,dié
槣 jī,guī
槤 lián,liǎn
槦 róng,yōng
槫 tuán,shuàn,quán
槭 qì,sè
槯 cuī,zhǐ
槱 yǒu,chǎo
槾 màn,wàn
樂 lè,yuè,yào,lào
樅 cōng,zōng
樆 lí,chī
樏 léi,lěi
樔 cháo,jiǎo,chāo
樛 jiū,liáo
樢 niǎo,mù
樧 shā,xiè
橃 fá,fèi
橈 ráo,náo
橏 zhǎn,jiǎn
橔 tuí,dūn
橖 táng,chēng
橚 sù,qiū
橝 tán,diàn
橦 tóng,chuáng
橧 zēng,céng
橨 fén,fèn,fèi
橪 rǎn,yān
橫 héng,hèng
橻 cū,chu
橾 shū,qiāo
檘 píng,bò
檜 guì,huì
檡 zhái,shì,tú
檦 biāo,biǎo
檮 chóu,táo,dǎo
檳 bīn,bīng
檶 qiān,lián
檷 nǐ,mí
檻 jiàn,kǎn
檽 nòu,ruǎn,rú
櫅 jī,jì
櫎 huǎng,guǒ,gǔ
櫑 léi,lěi
櫖 lǜ,chū
櫗 miè,mèi
櫟 lì,yuè
櫡 zhuó,zhù
櫣 lián,liǎn
櫭 jué,jì
櫰 huái,guī
櫴 là,lài
櫾 yòu,yóu
欃 chán,zhàn
欈 wéi,zuì
欥 yù,yì
欦 qiān,xiān
欪 chù,qù,xì
欬 kài,ài
欭 yì,yīn
欯 xì,kài
欶 shuò,sòu
欸 ǎi,ēi,éi,ěi,èi
欻 xū,chuā
欼 chǐ,chuài
欿 kǎn,qiàn
歁 kǎn,kè
歂 chuǎn,chuán
歅 yān,yīn
歏 jìn,qūn
歛 liǎn,hān
歭 zhì,chí
歰 sè,shà
橨 fén,fèn,fèi
橪 rǎn,yān
橫 héng,hèng
橻 cū,chu
橾 shū,qiāo
檘 píng,bò
檜 guì,huì
檡 zhái,shì,tú
檦 biāo,biǎo
檮 chóu,táo,dǎo
檳 bīn,bīng
檶 qiān,lián
檷 nǐ,mí
檻 jiàn,kǎn
檽 nòu,ruǎn,rú
櫅 jī,jì
櫎 huǎng,guǒ,gǔ
櫑 léi,lěi
櫖 lǜ,chū
櫗 miè,mèi
櫟 lì,yuè
櫡 zhuó,zhù
櫣 lián,liǎn
櫭 jué,jì
櫰 huái,guī
櫴 là,lài
櫾 yòu,yóu
欃 chán,zhàn
欈 wéi,zuì
欥 yù,yì
欦 qiān,xiān
欪 chù,qù,xì
欬 kài,ài
欭 yì,yīn
欯 xì,kài
欶 shuò,sòu
欸 ǎi,ēi,éi,ěi,èi
欻 xū,chuā
欼 chǐ,chuài
欿 kǎn,qiàn
歁 kǎn,kè
歂 chuǎn,chuán
歅 yān,yīn
歏 jìn,qūn
歛 liǎn,hān
歭 zhì,chí
歰 sè,shà
歾 mò,wěn
殑 qíng,jìng
殕 fǒu,bó
殗 yè,yān,yàn
殙 hūn,mèi
殨 kuì,huì
殸 qìng,kēng,shēng
殻 ké,qiào
殼 ké,qiào
殽 xiáo,yáo,xiào
毌 guàn,wān
毥 xún,xùn
毭 dòu,nuò
毸 sāi,suī
氐 dī,dǐ
氜 yáng,rì
氶 zhěng,chéng,zhèng
氿 guǐ,jiǔ
汃 bīn,pà,pā
汋 zhuó,què
汏 tài,dà
汥 zhī,jì
汵 gàn,hán,cén
汸 fāng,pāng
汻 hǔ,huǎng
汼 niú,yóu
沒 méi,mò
沕 mì,wù
沗 hóng,pāng
沝 zhuǐ,zǐ
沰 tuō,duó
沲 tuó,duò
沵 mǐ,lì
沶 yí,chí
泆 yì,dié
泍 bēn,bèn
泏 chù,shè
泑 yōu,yòu,āo
泙 pēng,píng
泧 yuè,sà
泬 jué,xuè
泺 luò,pō
洑 fú,fù
洓 sè,qì,zì
洘 kǎo,kào
洝 àn,yàn,è
洡 lěi,lèi
洬 sù,shuò
洯 qiè,jié
浍 kuài,huì
浟 yōu,dí
浧 yǐng,chéng,yíng
浲 féng,hóng
浻 jiǒng,jiōng
浽 suī,něi
涒 tūn,yūn
涭 shòu,tāo
涳 kōng,náng
涴 wǎn,wò,yuān
涶 tuō,tuò
涼 liáng,liàng
淁 qiè,jí
淉 guǒ,guàn
淜 píng,péng
淠 pì,pèi
淢 yù,xù
淨 jìng,chēng
淰 niǎn,shěn
淲 biāo,hǔ
渂 wèn,mín
渃 ruò,rè,luò
済 jì,jǐ
渜 nuǎn,nuán
渞 qiú,wù
渟 tíng,tīng
渦 wō,guō
渧 tí,dī,dì
渰 yān,yǎn
渹 hōng,qìng
湏 huì,mǐn,xū
湑 xǔ,xū
湣 mǐn,hūn
湪 tuàn,nuǎn
湬 qiū,jiǎo
湯 tāng,shāng
湴 bàn,pán
湷 zhuāng,hún
溄 féng,hóng
溎 yàn,guì
溓 lián,liǎn,nián,xián,xiàn
溚 dá,tǎ
溱 zhēn,qín
滀 chù,xù
滃 wěng,wēng
滈 hào,xuè
滊 qì,xì,xiē
滎 xíng,yíng
滜 zé,hào
滸 hǔ,xǔ
漎 cóng,sǒng
漙 tuán,zhuān
漚 òu,ōu
漨 féng,péng
湣 mǐn,hūn
湪 tuàn,nuǎn
湬 qiū,jiǎo
湯 tāng,shāng
湴 bàn,pán
湷 zhuāng,hún
溄 féng,hóng
溎 yàn,guì
溓 lián,liǎn,nián,xián,xiàn
溚 dá,tǎ
溱 zhēn,qín
滀 chù,xù
滃 wěng,wēng
滈 hào,xuè
滊 qì,xì,xiē
滎 xíng,yíng
滜 zé,hào
滸 hǔ,xǔ
漎 cóng,sǒng
漙 tuán,zhuān
漚 òu,ōu
漨 féng,péng
漯 luò,tà
漰 bēn,pēng
漲 zhǎng,zhàng
漴 chóng,zhuàng
漷 huǒ,huò,kuò
漸 jiàn,jiān
漻 liáo,liú
漼 cuǐ,cuī
漿 jiāng,jiàng
潀 cóng,zǒng
潈 cóng,zōng
潎 pì,piē
潐 jiào,qiáo
潒 dàng,xiàng
潝 xī,yà
潨 cōng,zòng
潪 zhí,zhì
潬 tān,shàn
潰 kuì,huì
潳 tú,zhā
潵 sàn,sǎ
澊 cūn,cún
澍 shù,zhù
澑 liū,liù
澒 hòng,gǒng
澚 ào,yù
澠 miǎn,shéng
澤 zé,shì
澫 wàn,màn
澭 yōng,yǒng
澮 kuài,huì
濄 guō,wō
濆 fén,pēn
濈 jí,shà
濊 huì,huò
濎 dǐng,tìng
濔 mǐ,nǐ
濞 bì,pì
濟 jì,jǐ
濢 cuì,zuǐ
濩 huò,hù
濬 jùn,xùn
濭 ǎi,kài,kè
濺 jiàn,jiān
濻 wěi,duì
濼 luò,pō
濽 zàn,cuán
瀁 yǎng,yàng
瀆 dú,dòu
瀇 wǎng,wāng
瀎 miè,mò
瀓 chéng,dèng
瀢 wěi,duì
瀤 huái,wāi
瀧 lóng,shuāng
瀳 jiàn,zùn
瀴 yīng,yǐng,yìng
瀼 ráng,nǎng
灂 zhuó,jiào,zé
灒 zàn,cuán
灓 luán,luàn
灙 dǎng,tǎng
灥 xún,quán,quàn
灬 huǒ,biāo
灹 zhà,yù
炃 fén,bèn
炅 jiǒng,guì
炐 pàng,fēng
炤 zhào,zhāo
炪 zhuō,chù
炰 páo,fǒu
炶 shǎn,qián,shān
為 wéi,wèi
烄 jiǎo,yào
烋 xiū,xiāo
烔 tóng,dòng
烠 huí,huǐ
烰 fú,páo
烲 xiè,chè
焄 xūn,hūn
焆 juān,yè
焌 qū,jùn
焎 xiè,chè
焏 jí,qì
焣 chǎo,jù
焥 wò,ài
焧 zǒng,cōng
焬 xī,yì
焸 xiǒng,yīng
焽 xiǒng,yīng
煇 huī,yùn,xūn
煍 jiǎo,qiāo
煔 shǎn,qián,shān
煕 xī,yí
煠 yè,zhá
煬 yáng,yàng
煴 yūn,yǔn
煾 ēn,yūn
熅 yūn,yǔn
熇 hè,xiāo
熜 cōng,zǒng
熝 lù,āo
熢 péng,fēng
熣 suī,cuǐ
熯 hàn,rǎn
熰 ōu,ǒu
熿 huáng,huǎng
燀 chǎn,dǎn,chàn
燋 jiāo,qiáo,jué,zhuó
燑 tóng,dòng
燤 tài,liè
爃 róng,yíng
爄 lì,liè
爉 là,liè
爋 xūn,xùn
爌 kuàng,huǎng
爎 liáo,liǎo
爒 liáo,liǎo
爓 yàn,xún
爦 lǎn,làn
爫 zhǎo,zhuǎ
爯 chēng,chèn
爲 wéi,wèi
牑 biān,miàn
牗 yǒu,yōng
牚 chēng,chèng
牞 jiū,lè
牫 gē,qiú
熣 suī,cuǐ
熯 hàn,rǎn
熰 ōu,ǒu
熿 huáng,huǎng
燀 chǎn,dǎn,chàn
燋 jiāo,qiáo,jué,zhuó
燑 tóng,dòng
燤 tài,liè
爃 róng,yíng
爄 lì,liè
爉 là,liè
爋 xūn,xùn
爌 kuàng,huǎng
爎 liáo,liǎo
爒 liáo,liǎo
爓 yàn,xún
爦 lǎn,làn
爫 zhǎo,zhuǎ
爯 chēng,chèn
爲 wéi,wèi
牑 biān,miàn
牗 yǒu,yōng
牚 chēng,chèng
牞 jiū,lè
牫 gē,qiú
牰 yòu,chōu
犆 zhí,tè
犍 jiān,qián
犛 máo,lí
犮 quǎn,bá
犳 zhuó,bào
犴 hān,àn
犺 kàng,gǎng
犻 pèi,fèi
犿 huān,fān
狋 yí,quán,chí
狌 shēng,xīng
狏 tuó,yí
狟 huán,huān
狢 hé,mò
狧 tà,shì
狪 tóng,dòng
狵 máng,dòu
狶 xī,shǐ
猈 bài,pí
猏 jiān,yàn
猚 yá,wèi
猭 chuàn,chuān
猯 tuān,tuàn
猰 yà,jiá,qiè
猲 xiē,hè,gé,hài
猵 biān,piàn
猼 bó,pò
獋 háo,gāo
獖 fén,fèn
獜 lín,lìn
獟 yào,xiāo
獡 shuò,xī
獦 gé,liè,xiē
獱 biān,piàn
獳 nòu,rú
獶 náo,nǎo,yōu
獿 náo,yōu
玚 chàng,yáng
玧 mén,yǔn
玪 jiān,qián
玱 qiāng,cāng
玵 án,gān
玹 xuán,xián
玼 cī,cǐ
珆 yí,tāi
珇 zǔ,jù
珢 yín,kèn
珲 hún,huī
珶 dì,tí
琁 xuán,qióng
琈 fú,fū
琕 pín,bǐng
琗 cuì,sè
琟 wéi,yù
琠 tiǎn,tiàn
琣 běng,pěi
琿 hún,huī
瑎 xié,jiē
瑒 chàng,yáng
瑱 tiàn,tián,zhèn
瑲 qiāng,cāng
瑸 bīn,pián
瑹 tú,shū
璅 zǎo,suǒ
璚 qióng,jué
璯 huì,kuài
璷 lú,fū
璸 bīn,pián
璾 jì,zī
瓕 mí,xǐ
瓗 qióng,wěi,wèi
瓛 huán,yè,yà
瓟 bó,páo
瓡 zhí,hú
瓨 xiáng,hóng
瓸 bǎi,wǎ
瓹 juàn,juān
甴 yóu,zhá
甼 tǐng,dīng
甾 zāi,zī
畁 bì,qí
畐 fú,bì
畗 dá,fú
畟 cè,jì
畠 zāi,zī
畨 fān,pān
畬 shē,yú
當 dāng,dàng,dǎng
畺 jiāng,jiàng
疄 lín,lìn
疌 jié,qiè
疐 zhì,dì
疠 lì,lài
疦 jué,xuè
疨 yǎ,xiā
疺 fá,biǎn
疿 fèi,féi
痁 shān,diàn
痋 téng,chóng
痌 tōng,tóng
痏 wěi,yòu,yù
痑 tān,shǐ
痡 pū,pù
痭 bēng,péng
痱 fèi,féi
痳 má,lìn
痶 tiǎn,diàn
痷 ān,yè,è
痾 kē,ē
瘅 dàn,dān
瘈 zhì,chì
瘕 jiǎ,xiá,xiā
瘣 huì,lěi
瘥 chài,cuó
瘧 nüè,yào
瘨 diān,chēn
癄 qiáo,jiào
癉 dàn,dān
癐 guì,wēi
癑 nòng,nóng
癘 lì,lài
癟 biē,biě
癷 bō,bǒ
皀 jí,bī
珲 hún,huī
珶 dì,tí
琁 xuán,qióng
琈 fú,fū
琕 pín,bǐng
琗 cuì,sè
琟 wéi,yù
琠 tiǎn,tiàn
琣 běng,pěi
琿 hún,huī
瑎 xié,jiē
瑒 chàng,yáng
瑱 tiàn,tián,zhèn
瑲 qiāng,cāng
瑸 bīn,pián
瑹 tú,shū
璅 zǎo,suǒ
璚 qióng,jué
璯 huì,kuài
璷 lú,fū
璸 bīn,pián
璾 jì,zī
瓕 mí,xǐ
瓗 qióng,wěi,wèi
瓛 huán,yè,yà
瓟 bó,páo
瓡 zhí,hú
瓨 xiáng,hóng
瓸 bǎi,wǎ
瓹 juàn,juān
甴 yóu,zhá
甼 tǐng,dīng
甾 zāi,zī
畁 bì,qí
畐 fú,bì
畗 dá,fú
畟 cè,jì
畠 zāi,zī
畨 fān,pān
畬 shē,yú
當 dāng,dàng,dǎng
畺 jiāng,jiàng
疄 lín,lìn
疌 jié,qiè
疐 zhì,dì
疠 lì,lài
疦 jué,xuè
疨 yǎ,xiā
疺 fá,biǎn
疿 fèi,féi
痁 shān,diàn
痋 téng,chóng
痌 tōng,tóng
痏 wěi,yòu,yù
痑 tān,shǐ
痡 pū,pù
痭 bēng,péng
痱 fèi,féi
痳 má,lìn
痶 tiǎn,diàn
痷 ān,yè,è
痾 kē,ē
瘅 dàn,dān
瘈 zhì,chì
瘕 jiǎ,xiá,xiā
瘣 huì,lěi
瘥 chài,cuó
瘧 nüè,yào
瘨 diān,chēn
癄 qiáo,jiào
癉 dàn,dān
癐 guì,wēi
癑 nòng,nóng
癘 lì,lài
癟 biē,biě
癷 bō,bǒ
皀 jí,bī
皅 pā,bà
皐 gāo,yáo
皪 lì,luò,bō
皻 zhā,cǔ
皽 zhāo,zhǎn,dǎn
監 jiān,jiàn
盩 zhōu,chóu
盳 máng,wàng
盷 xián,tián
盻 xì,pǎn
眃 yún,hùn
眏 yāng,yǎng,yìng
眑 yǎo,āo,ǎo
眗 jū,xū,kōu
眙 yí,chì
眜 mò,miè
眣 dié,tì
眪 bǐng,fǎng
眫 pàng,pán
眭 guì,suī
眰 dié,zhì
眴 xuàn,shùn,xún
睄 qiáo,shào,xiāo
睉 cuó,zhuài
睟 suì,zuì
睪 yì,zé,gāo
睲 xǐng,xìng
瞆 guì,wèi,kuì
瞇 mī,mí
瞉 kòu,jì
瞏 qióng,huán
瞗 diāo,dōu
瞜 lóu,lǘ,lou
瞞 mán,mén
瞢 méng,měng
瞤 rún,shùn
瞭 liǎo,liào
瞯 xián,jiàn
瞴 wǔ,mí
瞶 guì,kuì
矃 nǐng,chēng
矆 huò,yuè
矌 kuàng,guō
矒 méng,měng
矔 guàn,quán
矕 mǎn,mán
矝 jīn,qín,guān
矦 hóu,hòu
矯 jiǎo,jiáo
矼 gāng,qiāng,kòng
砏 pīn,bīn,fēn
砢 kē,luǒ
砩 fú,fèi
砫 zhù,zhǔ
砬 lì,lā,lá
硄 kuāng,guāng
硊 wěi,guì
硌 luò,gè
硍 kèn,xiàn,gǔn,yǐn
硏 yán,yàn
硑 pēng,píng
硙 wéi,wèi
硞 què,kè,kù
硥 mǎng,bàng
硦 luò,lòng
硧 yǒng,tóng
硻 kēng,kěng
硽 yān,yǎn
硾 zhuì,chuí,duǒ
碂 zòng,cóng
碊 jiān,zhàn
碏 què,xī
碖 lún,lǔn,lùn
痳 má,lìn
痶 tiǎn,diàn
痷 ān,yè,è
痾 kē,ē
瘅 dàn,dān
瘈 zhì,chì
瘕 jiǎ,xiá,xiā
瘣 huì,lěi
瘥 chài,cuó
瘧 nüè,yào
瘨 diān,chēn
癄 qiáo,jiào
癉 dàn,dān
癐 guì,wēi
癑 nòng,nóng
癘 lì,lài
癟 biē,biě
癷 bō,bǒ
皀 jí,bī
皅 pā,bà
皐 gāo,yáo
皪 lì,luò,bō
皻 zhā,cǔ
皽 zhāo,zhǎn,dǎn
監 jiān,jiàn
盩 zhōu,chóu
盳 máng,wàng
盷 xián,tián
盻 xì,pǎn
眃 yún,hùn
眏 yāng,yǎng,yìng
眑 yǎo,āo,ǎo
眗 jū,xū,kōu
眙 yí,chì
眜 mò,miè
眣 dié,tì
眪 bǐng,fǎng
眫 pàng,pán
眭 guì,suī
眰 dié,zhì
眴 xuàn,shùn,xún
睄 qiáo,shào,xiāo
睉 cuó,zhuài
睟 suì,zuì
睪 yì,zé,gāo
睲 xǐng,xìng
瞆 guì,wèi,kuì
瞇 mī,mí
瞉 kòu,jì
瞏 qióng,huán
瞗 diāo,dōu
瞜 lóu,lǘ,lou
瞞 mán,mén
瞢 méng,měng
瞤 rún,shùn
瞭 liǎo,liào
瞯 xián,jiàn
瞴 wǔ,mí
瞶 guì,kuì
矃 nǐng,chēng
矆 huò,yuè
矌 kuàng,guō
矒 méng,měng
矔 guàn,quán
矕 mǎn,mán
矝 jīn,qín,guān
矦 hóu,hòu
矯 jiǎo,jiáo
矼 gāng,qiāng,kòng
砏 pīn,bīn,fēn
砢 kē,luǒ
砩 fú,fèi
砫 zhù,zhǔ
砬 lì,lā,lá
硄 kuāng,guāng
硊 wěi,guì
硌 luò,gè
硍 kèn,xiàn,gǔn,yǐn
硏 yán,yàn
硑 pēng,píng
硙 wéi,wèi
硞 què,kè,kù
硥 mǎng,bàng
硦 luò,lòng
硧 yǒng,tóng
硻 kēng,kěng
硽 yān,yǎn
硾 zhuì,chuí,duǒ
碂 zòng,cóng
碊 jiān,zhàn
碏 què,xī
碖 lún,lǔn,lùn
箢 wǎn,yuān
箷 shī,yí
箾 shuò,xiāo,qiào
築 zhù,zhú
篢 gōng,gǎn,lǒng
篣 péng,páng
篭 lóng,lǒng
篯 jiǎn,jiān
篴 zhú,dí
篸 cēn,zān,cǎn
篹 zhuàn,zuàn,suǎn
篻 piǎo,biāo
篿 tuán,zhuān
簂 guó,guì
簎 cè,jí
簚 mì,miè
簨 sǔn,zhuàn
簳 gǎn,gàn
籈 zhēn,jiān
籔 sǒu,shǔ
籛 jiǎn,jiān
籠 lóng,lǒng
粆 shā,chǎo
粇 kāng,jīng
粢 zī,cí
粣 cè,sè
粰 fū,fú
糁 sǎn,shēn
糄 biān,biǎn
糓 gǔ,gòu
糝 sǎn,shēn
糣 sǎn,shēn
糸 mì,sī
糺 jiū,jiǔ
糽 zhēng,zhěng
紁 chà,chǎ
約 yuē,yāo
紅 hóng,gōng
紇 hé,gē
紋 wén,wèn
紒 jì,jié,jiè
紕 pī,pí,bǐ
紟 jīn,jìn
紥 zhā,zā
紨 fū,fù
紬 chōu,chóu
紴 bō,bì
紶 qū,qǔ
紾 zhěn,tiǎn
絅 jiōng,jiǒng
結 jié,jiē
絓 guà,kuā
絔 bǎi,mò
絙 huán,gēng
絜 xié,jié
絟 quán,shuān
絠 gǎi,ǎi
絡 luò,lào
籔 sǒu,shǔ
籛 jiǎn,jiān
籠 lóng,lǒng
粆 shā,chǎo
粇 kāng,jīng
粢 zī,cí
粣 cè,sè
粰 fū,fú
糁 sǎn,shēn
糄 biān,biǎn
糓 gǔ,gòu
糝 sǎn,shēn
糣 sǎn,shēn
糸 mì,sī
糺 jiū,jiǔ
糽 zhēng,zhěng
紁 chà,chǎ
約 yuē,yāo
紅 hóng,gōng
紇 hé,gē
紋 wén,wèn
紒 jì,jié,jiè
紕 pī,pí,bǐ
紟 jīn,jìn
紥 zhā,zā
紨 fū,fù
紬 chōu,chóu
紮 zhā,zā
紴 bō,bì
紶 qū,qǔ
紾 zhěn,tiǎn
絅 jiōng,jiǒng
結 jié,jiē
絓 guà,kuā
絔 bǎi,mò
絙 huán,gēng
絜 xié,jié
絟 quán,shuān
絠 gǎi,ǎi
絡 luò,lào
絣 bēng,bīng,pēng
給 gěi,jǐ
絧 tōng,tóng,dòng
絩 tiào,diào,dào
絫 lěi,lèi,léi
絯 gāi,hài
絺 chī,zhǐ
絻 miǎn,wèn,mán,wàn
綅 qīn,xiān
綈 tí,tì
綖 yán,xiàn
綜 zōng,zèng
綝 lín,chēn
綟 lì,liè
綧 zhǔn,zhùn
綨 jī,qí
綪 qiàn,qīng,zhēng
綮 qìng,qǐ
綳 bēng,běng,bèng
綸 lún,guān
綽 chuò,chāo
緂 tián,tǎn,chān
緑 lǜ,lù
緛 ruǎn,ruàn
緝 jī,qī
緟 chóng,zhòng
緢 miáo,máo
緤 xiè,yè
緪 gēng,gèng
緰 tōu,xū,shū
緵 zōng,zòng
緶 biàn,pián
緷 gǔn,yùn
緺 guā,wō
緼 yùn,yūn,wēn
縆 gēng,gèng
縍 bāng,bàng
縎 gǔ,hú
縒 cī,cuò,suǒ
縕 yùn,yūn,wēn
縗 cuī,suī,shuāi
縙 róng,rǒng,ròng
縡 zài,zēng
縣 xiàn,xuán
縫 féng,fèng
縮 suō,sù
縯 yǎn,yǐn
縱 zòng,zǒng
縳 zhuàn,juàn
縸 mù,mò
繃 bēng,běng,bèng
繆 móu,miù,miào,mù,liǎo
繌 zōng,zòng
繒 zēng,zèng
織 zhī,zhì
繘 jú,jué
繛 chuō,chuò
繜 zūn,zǔn
繟 chǎn,chán
繢 huì,huí
繫 xì,jì
繰 qiāo,sāo
繳 jiǎo,zhuó
繵 dàn,tán,chán
纀 pú,fú
纅 yào,lì
纕 xiāng,rǎng
纚 lí,xǐ,lǐ,sǎ
绨 tí,tì
缊 yùn,yūn,wēn
缋 huì,huí
缏 biàn,pián
缞 cuī,suī,shuāi
缲 qiāo,sāo
罖 wǎng,ra
罫 guǎi,guà
罷 bà,ba,pí
羏 yáng,xiáng
羙 měi,gāo
羛 yì,xī
羫 qiāng,kòng
羬 qián,xián,yán
羾 hóng,gòng
翍 pī,bì,pō
翑 qú,yù
翢 dào,zhōu
翵 hóu,qú
翹 qiáo,qiào
耎 ruǎn,nuò
耏 ér,nài
耑 duān,zhuān
耛 sì,chí
耝 qù,chú
耣 lún,lǔn
耤 jí,jiè
耫 zhá,zé
耺 yún,yíng
聉 wà,tuǐ,zhuó
聏 ér,nǜ
聑 tiē,zhé
聜 dǐ,zhì
聻 nǐ,jiàn
肑 bó,dí
肜 róng,chēn
肣 qín,hán,hàn
肨 pàng,pán,pàn
肫 zhūn,chún
肶 pí,bǐ,bì
胇 fèi,bì
胏 zǐ,fèi
繢 huì,huí
繫 xì,jì
繰 qiāo,sāo
繳 jiǎo,zhuó
繵 dàn,tán,chán
纀 pú,fú
纅 yào,lì
纕 xiāng,rǎng
纚 lí,xǐ,lǐ,sǎ
绨 tí,tì
缊 yùn,yūn,wēn
缋 huì,huí
缏 biàn,pián
缞 cuī,suī,shuāi
缲 qiāo,sāo
罖 wǎng,ra
罫 guǎi,guà
罷 bà,ba,pí
羏 yáng,xiáng
羙 měi,gāo
羛 yì,xī
羫 qiāng,kòng
羬 qián,xián,yán
羾 hóng,gòng
翍 pī,bì,pō
翑 qú,yù
翢 dào,zhōu
翵 hóu,qú
翹 qiáo,qiào
耎 ruǎn,nuò
耏 ér,nài
耑 duān,zhuān
耛 sì,chí
耝 qù,chú
耣 lún,lǔn
耤 jí,jiè
耫 zhá,zé
耺 yún,yíng
聉 wà,tuǐ,zhuó
聏 ér,nǜ
聑 tiē,zhé
聜 dǐ,zhì
聻 nǐ,jiàn
肑 bó,dí
肜 róng,chēn
肣 qín,hán,hàn
肨 pàng,pán,pàn
肫 zhūn,chún
肶 pí,bǐ,bì
胇 fèi,bì
胏 zǐ,fèi
胐 fěi,kū
胓 píng,pēng
胕 fū,fú,zhǒu
胿 guī,kuì
膔 lù,biāo
膞 zhuān,chuán,chún,zhuǎn
膰 fán,pán
膴 hū,wǔ
臈 là,gé
臒 wò,yuè
臡 ní,luán
臤 qiān,xián
臦 guàng,jiǒng
臩 guǎng,jiǒng
臱 mián,biān
臷 dié,zhí
臸 zhī,jìn
艽 jiāo,qiú
芆 chāi,chā
芐 hù,xià
芓 zì,zǐ
芔 huì,hū
芘 bì,pí
芚 tún,chūn
芧 xù,zhù
芫 yuán,yán
芲 lún,huā
芴 wù,hū
芶 gōu,gǒu
芼 máo,mào
芾 fèi,fú
苂 chán,yín
苐 dì,tí
苙 lì,jī
苣 jù,qǔ
苧 zhù,níng
苩 pā,bó
苲 zuó,zhǎ
苼 shēng,ruí
荨 qián,xún
莑 péng,fēng
莤 sù,yóu
莦 shāo,xiāo
莨 làng,liáng
莬 wèn,wǎn,miǎn
莳 shì,shí
莵 tù,tú
莶 xiān,liǎn
菀 wǎn,yùn
菆 zōu,chù
菍 niè,rěn
菨 jiē,shà
